,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
189,CL3282,LECTURE 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
190,CM1111,LECTURE SL1,7,3,1,1,1500,SCIENCE,Returning Students [P]
191,CM1111,LECTURE SL1,40,17,1,1,124,SCIENCE,New Students [P]
192,CM1131,LECTURE SL1,10,26,1,2001,4000,SCIENCE,Returning Students [P]
193,CM1131,LECTURE SL1,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
194,CM1131,LECTURE SL1,30,37,37,66,355,SCIENCE,New Students [P]
195,CM1131,LECTURE SL1,10,1,100,1,100,SCHOOL OF COMPUTING,New Students [P]
196,CM1417,LECTURE SL1,48,1,50,1,50,SCIENCE,Returning Students [P]
197,CM1417,LECTURE SL1,6,2,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
198,CM1417,LECTURE SL1,150,24,1,1,100,SCIENCE,New Students [P]
199,CM1417,LECTURE SL1,10,1,1,1,1,SCHOOL OF COMPUTING,New Students [P]
200,CM2101,LECTURE SL1,5,1,100,1,100,SCIENCE,Returning Students [P]
201,CM2142,LECTURE SL1,7,2,1,1,857,SCIENCE,Returning Students [P]
202,CM3212,LECTURE SL1,88,0,0,0,0,SCIENCE,Returning Students [P]
203,CM3221,LECTURE SL1,7,1,100,1,100,SCIENCE,Returning Students [P]
204,CM3231,LECTURE SL1,46,0,0,0,0,SCIENCE,Returning Students [P]
205,CM3242,LECTURE SL1,4,1,1,1,1,SCIENCE,Returning Students [P]
206,CM3252,LECTURE SL1,38,1,1820,1,1820,SCIENCE,Returning Students [P]
207,CM3261,LECTURE SL1,15,2,1,1,1,SCIENCE,Returning Students [P]
208,CM3291,LECTURE SL1,32,0,0,0,0,SCIENCE,Returning Students [P]
209,CM3292,LECTURE SL1,16,2,1,1,1,SCIENCE,Returning Students [P]
210,CM4215,LECTURE SL1,13,4,1,1,1590,SCIENCE,Returning Students [P]
211,CM4227,LECTURE SL1,18,1,2,1,2,SCIENCE,Returning Students [P]
212,CM4242,LECTURE SL1,17,1,2,1,2,SCIENCE,Returning Students [P]
213,CM4251,LECTURE SL1,62,0,0,0,0,SCIENCE,Returning Students [P]
214,CM4254,LECTURE SL1,62,0,0,0,0,SCIENCE,Returning Students [P]
215,CM4261,LECTURE SL1,11,0,0,0,0,SCIENCE,Returning Students [P]
216,CM4273,LECTURE SL1,42,1,1,1,1,SCIENCE,Returning Students [P]
217,CM4274,LECTURE SL1,34,1,1,1,1,SCIENCE,Returning Students [P]
218,CN1111,LECTURE 1,2,0,0,0,0,ENGINEERING,Returning Students [P]
219,CN1111,LECTURE 1,135,177,1,100,770,ENGINEERING,New Students [P]
220,CN1111E,LECTURE 1,15,0,0,0,0,ENGINEERING,Returning Students [P]
221,CN1111E,LECTURE 1,35,1,1,1,1,ENGINEERING,New Students [P]
222,CN2116,LECTURE 1,23,1,1,1,1,ENGINEERING,Returning Students [P]
223,CN2121,LECTURE 1,78,5,1,1,1,ENGINEERING,Returning Students [P]
224,CN2121E,LECTURE 1,19,0,0,0,0,ENGINEERING,Returning Students [P]
225,CN2121E,LECTURE 1,20,13,1,1,101,ENGINEERING,New Students [P]
226,CN2122,LECTURE 1,64,5,1,1,1,ENGINEERING,Returning Students [P]
227,CN2122,LECTURE 1,10,0,0,0,0,ENGINEERING,New Students [P]
228,CN2122E,LECTURE 1,33,0,0,0,0,ENGINEERING,Returning Students [P]
229,CN2122E,LECTURE 1,20,12,1,1,101,ENGINEERING,New Students [P]
230,CN2125,LECTURE 1,33,0,0,0,0,ENGINEERING,Returning Students [P]
231,CN3108,SECTIONAL TEACHING 1,38,1,5,1,5,ENGINEERING,Returning Students [P]
232,CN3108,SECTIONAL TEACHING 2,1,1,400,1,400,ENGINEERING,Returning Students [P]
233,CN3108,SECTIONAL TEACHING 3,24,0,0,0,0,ENGINEERING,Returning Students [P]
234,CN3108,SECTIONAL TEACHING 4,5,1,1,1,1,ENGINEERING,Returning Students [P]
235,CN3121,LECTURE 1,87,2,1,1,5,ENGINEERING,Returning Students [P]
236,CN3121E,LECTURE 1,21,1,1,1,1,ENGINEERING,Returning Students [P]
237,CN3132,LECTURE 1,110,1,5,1,5,ENGINEERING,Returning Students [P]
238,CN3132E,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students [P]
239,CN3135,LECTURE 1,49,1,5,1,5,ENGINEERING,Returning Students [P]
240,CN3135E,LECTURE 1,10,2,1,1,2,ENGINEERING,Returning Students [P]
241,CN3421,LECTURE 1,119,1,5,1,5,ENGINEERING,Returning Students [P]
242,CN4118E,LECTURE 1,74,0,0,0,0,ENGINEERING,Returning Students [P]
243,CN4118R,LECTURE 1,53,2,1,1,2421,ENGINEERING,Returning Students [P]
244,CN4122,LECTURE 1,53,0,0,0,0,ENGINEERING,Returning Students [P]
245,CN4201R,LECTURE 1,38,0,0,0,0,ENGINEERING,Returning Students [P]
246,CN4203R,LECTURE 1,26,0,0,0,0,ENGINEERING,Returning Students [P]
247,CN4205E,LECTURE 1,36,0,0,0,0,ENGINEERING,Returning Students [P]
248,CN4205R,LECTURE 1,10,0,0,0,0,ENGINEERING,Returning Students [P]
249,CN4210E,LECTURE 1,35,1,1,1,1,ENGINEERING,Returning Students [P]
250,CN4216R,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students [P]
251,CN4217R,LECTURE 1,13,0,0,0,0,ENGINEERING,Returning Students [P]
252,CN4238R,LECTURE 1,2,3,100,2000,2679,ENGINEERING,Returning Students [P]
253,CN4240E,LECTURE 1,1,4,10,2900,2900,ENGINEERING,Returning Students [P]
254,CN4242E,LECTURE 1,55,0,0,0,0,ENGINEERING,Returning Students [P]
255,CN4246E,LECTURE 1,34,0,0,0,0,ENGINEERING,Returning Students [P]
256,CN4246R,LECTURE 1,9,1,1,1,1,ENGINEERING,Returning Students [P]
257,CN5111,LECTURE 1,56,2,1,1,1,ENGINEERING,Returning Students [P]
258,CP2201,LECTURE 1,42,40,1,1,3001,SCHOOL OF COMPUTING,Returning Students [P]
259,CP2201,LECTURE 1,30,14,1,1,4651,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
260,CP2201,LECTURE 1,8,1,21,1,21,SCHOOL OF COMPUTING,New Students [P]
261,CP2201,LECTURE 1,20,0,0,0,0,SCHOOL OF COMPUTING,Reserved for [G] in later round
262,CP3101C,LECTURE 1,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
263,CP3101C,LECTURE 1,5,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
264,CP3201,LECTURE 1,40,26,1,1,4082,SCHOOL OF COMPUTING,Returning Students [P]
265,CP3201,LECTURE 1,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
266,CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [G]
267,CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [G]
268,CS1010,SECTIONAL TEACHING 3,1,0,0,0,0,SCHOOL OF COMPUTING,NUS Students [G]
269,CS1010,SECTIONAL TEACHING 31,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
270,CS1010,SECTIONAL TEACHING 32,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
