,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
986,LAC3201,LECTURE 1,13,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
987,LAC3201,LECTURE 2,12,3,1,1,80,ARTS & SOCIAL SCIENCES,Returning Students [P]
988,LAC3201,LECTURE 2,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
989,LAC3201,LECTURE 2,13,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
990,LAC3202,LECTURE 1,7,1,200,1,200,ARTS & SOCIAL SCIENCES,Returning Students [P]
991,LAC3202,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
992,LAC3202,LECTURE 1,8,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
993,LAF1201,LECTURE 1,4,6,11,603,2884,ARTS & SOCIAL SCIENCES,Returning Students [P]
994,LAF1201,LECTURE 1,6,4,1,1,41,ARTS & SOCIAL SCIENCES,New Students [P]
995,LAF1201,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
996,LAF1201,LECTURE 2,2,3,600,611,950,ARTS & SOCIAL SCIENCES,Returning Students [P]
997,LAF1201,LECTURE 2,6,6,1,1,198,ARTS & SOCIAL SCIENCES,New Students [P]
998,LAF1201,LECTURE 2,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
999,LAF1201,LECTURE 3,2,4,178,500,503,ARTS & SOCIAL SCIENCES,Returning Students [P]
1000,LAF1201,LECTURE 3,5,5,2,1,180,ARTS & SOCIAL SCIENCES,New Students [P]
1001,LAF1201,LECTURE 3,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1002,LAF1201,LECTURE 4,5,7,400,502,1412,ARTS & SOCIAL SCIENCES,Returning Students [P]
1003,LAF1201,LECTURE 4,6,8,12,99,150,ARTS & SOCIAL SCIENCES,New Students [P]
1004,LAF1201,LECTURE 4,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1005,LAF1201,LECTURE 5,3,3,657,1,2000,ARTS & SOCIAL SCIENCES,Returning Students [P]
1006,LAF1201,LECTURE 5,5,4,1,1,10,ARTS & SOCIAL SCIENCES,New Students [P]
1007,LAF1201,LECTURE 5,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1008,LAF1201,LECTURE 6,3,6,590,1265,1592,ARTS & SOCIAL SCIENCES,Returning Students [P]
1009,LAF1201,LECTURE 6,6,4,20,1,454,ARTS & SOCIAL SCIENCES,New Students [P]
1010,LAF1201,LECTURE 6,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1011,LAF1201,LECTURE 7,4,6,550,800,1857,ARTS & SOCIAL SCIENCES,Returning Students [P]
1012,LAF1201,LECTURE 7,5,6,99,100,300,ARTS & SOCIAL SCIENCES,New Students [P]
1013,LAF1201,LECTURE 7,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1014,LAF1201,LECTURE 8,6,10,50,800,1201,ARTS & SOCIAL SCIENCES,Returning Students [P]
1015,LAF1201,LECTURE 8,6,8,11,15,746,ARTS & SOCIAL SCIENCES,New Students [P]
1016,LAF1201,LECTURE 8,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1017,LAF1201,LECTURE 9,4,8,500,1500,2023,ARTS & SOCIAL SCIENCES,Returning Students [P]
1018,LAF1201,LECTURE 9,6,9,1,55,500,ARTS & SOCIAL SCIENCES,New Students [P]
1019,LAF1201,LECTURE 9,7,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1020,LAF2201,LECTURE 1,17,17,100,1,1702,ARTS & SOCIAL SCIENCES,Returning Students [P]
1021,LAF2201,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1022,LAF2201,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1023,LAF2201,LECTURE 2,22,11,20,1,1133,ARTS & SOCIAL SCIENCES,Returning Students [P]
1024,LAF2201,LECTURE 2,2,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1025,LAF2201,LECTURE 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1026,LAF2201,LECTURE 3,21,10,1,1,788,ARTS & SOCIAL SCIENCES,Returning Students [P]
1027,LAF2201,LECTURE 3,3,2,8,1,10,ARTS & SOCIAL SCIENCES,New Students [P]
1028,LAF2201,LECTURE 3,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1029,LAF3201,LECTURE 1,6,7,150,249,1089,ARTS & SOCIAL SCIENCES,Returning Students [P]
1030,LAF3201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1031,LAF3201,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1032,LAF3201,LECTURE 2,10,5,100,1,1116,ARTS & SOCIAL SCIENCES,Returning Students [P]
1033,LAF3201,LECTURE 2,1,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1034,LAF3201,LECTURE 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1035,LAF3201,LECTURE 3,11,6,1,1,488,ARTS & SOCIAL SCIENCES,Returning Students [P]
1036,LAF3201,LECTURE 3,2,1,5,1,5,ARTS & SOCIAL SCIENCES,New Students [P]
